Habitat,AnemoneSpecies,Quadrat,Abundance
Upper Intertidal,Anthopleura sola,1,0
Upper Intertidal,Anthopleura sola,2,0
Upper Intertidal,Anthopleura sola,3,0
Upper Intertidal,Anthopleura sola,4,0
Upper Intertidal,Anthopleura sola,5,0
Upper Intertidal,Anthopleura sola,6,0
Upper Intertidal,Anthopleura sola,7,0
Upper Intertidal,Anthopleura sola,8,0
Upper Intertidal,Anthopleura sola,9,0
Upper Intertidal,Anthopleura sola,10,0
Upper Intertidal,Anthopleura sola,11,0
Upper Intertidal,Anthopleura sola,12,0
Upper Intertidal,Anthopleura sola,13,0
Upper Intertidal,Anthopleura sola,14,0
Upper Intertidal,Anthopleura sola,15,0
Upper Intertidal,Anthopleura elengatissima,1,0
Upper Intertidal,Anthopleura elengatissima,2,0
Upper Intertidal,Anthopleura elengatissima,3,0
Upper Intertidal,Anthopleura elengatissima,4,0
Upper Intertidal,Anthopleura elengatissima,5,0
Upper Intertidal,Anthopleura elengatissima,6,0
Upper Intertidal,Anthopleura elengatissima,7,0
Upper Intertidal,Anthopleura elengatissima,8,0
Upper Intertidal,Anthopleura elengatissima,9,0
Upper Intertidal,Anthopleura elengatissima,10,0
Upper Intertidal,Anthopleura elengatissima,11,0
Upper Intertidal,Anthopleura elengatissima,12,45
Upper Intertidal,Anthopleura elengatissima,13,37
Upper Intertidal,Anthopleura elengatissima,14,42
Upper Intertidal,Anthopleura elengatissima,15,0
Lower Intertidal,Anthopleura sola,1,1
Lower Intertidal,Anthopleura sola,2,0
Lower Intertidal,Anthopleura sola,3,0
Lower Intertidal,Anthopleura sola,4,0
Lower Intertidal,Anthopleura sola,5,0
Lower Intertidal,Anthopleura sola,6,0
Lower Intertidal,Anthopleura sola,7,1
Lower Intertidal,Anthopleura sola,8,2
Lower Intertidal,Anthopleura sola,9,3
Lower Intertidal,Anthopleura elengatissima,1,0
Lower Intertidal,Anthopleura elengatissima,2,3
Lower Intertidal,Anthopleura elengatissima,3,30
Lower Intertidal,Anthopleura elengatissima,4,60
Lower Intertidal,Anthopleura elengatissima,5,8
Lower Intertidal,Anthopleura elengatissima,6,20
Lower Intertidal,Anthopleura elengatissima,7,5
Lower Intertidal,Anthopleura elengatissima,8,2
Lower Intertidal,Anthopleura elengatissima,9,4